time,yaw,pitch,roll
2023-04-27 13:37:44.9250,70.439,-5.056,-25.231
2023-04-27 13:37:45.0250,61.019,-3.256,-27.783
2023-04-27 13:37:45.1250,41.821,7.908,-35.961
2023-04-27 13:37:45.2250,15.635,45.067,-46.152
2023-04-27 13:37:45.3250,-111.034,68.855,47.903
2023-04-27 13:37:45.4250,-121.958,42.46,45.103
2023-04-27 13:37:45.5250,-79.596,26.703,8.839
2023-04-27 13:37:45.6250,-29.691,0.935,-16.037
2023-04-27 13:37:45.7250,23.179,-5.987,-23.906
2023-04-27 13:37:45.8250,57.296,15.505,-60.629
2023-04-27 13:37:45.9250,76.598,35.458,-110.349
2023-04-27 13:37:46.0250,91.833,55.112,-162.499
2023-04-27 13:37:46.1250,-151.215,83.987,74.663
2023-04-27 13:37:46.2250,-88.853,43.588,18.994
2023-04-27 13:37:46.3220,-63.756,16.578,10.822
2023-04-27 13:37:46.4200,-14.464,8.361,-3.836
2023-04-27 13:37:46.5220,38.615,11.262,-25.315
2023-04-27 13:37:46.6200,74.97,19.615,-69.459
2023-04-27 13:37:46.7210,84.083,21.669,-110.484
2023-04-27 13:37:46.8230,92.552,46.032,-158.438
2023-04-27 13:37:46.9230,145.625,73.33,140.906
2023-04-27 13:37:47.0230,-99.593,63.271,32.096
2023-04-27 13:37:47.1230,-63.944,39.979,13.51
2023-04-27 13:37:47.2230,-15.679,22.826,-5.879
2023-04-27 13:37:47.3230,33.001,19.444,-30.778
2023-04-27 13:37:47.4230,70.34,23.505,-68.772
2023-04-27 13:37:47.5230,84.311,22.919,-114.023
2023-04-27 13:37:47.6230,101.122,44.731,-168.269
2023-04-27 13:37:47.7230,126.305,63.707,154.963
2023-04-27 13:37:47.8230,-140.003,69.481,63.207
2023-04-27 13:37:47.9220,-96.443,39.261,30.398
2023-04-27 13:37:48.0230,-56.093,19.188,11.942
2023-04-27 13:37:48.1220,-9.167,6.333,-2.339
2023-04-27 13:37:48.2220,29.533,1.081,-19.755
2023-04-27 13:37:48.3220,48.901,11.965,-49.419
2023-04-27 13:37:48.4220,62.273,34.085,-90.016
2023-04-27 13:37:48.5220,88.843,57.954,-146.288
2023-04-27 13:37:48.6220,157.161,58.964,130.883
2023-04-27 13:37:48.7220,-147.978,47.252,73.624
2023-04-27 13:37:48.8220,-117.667,21.885,49.307
2023-04-27 13:37:48.9220,-96.434,12.718,32.712
2023-04-27 13:37:49.0220,-50.404,13.718,3.324
2023-04-27 13:37:49.1220,9.601,9.131,-28.77
2023-04-27 13:37:49.2220,50.466,19.261,-63.25
2023-04-27 13:37:49.3210,82.259,39.075,-117.978
2023-04-27 13:37:49.4210,126.633,44.946,168.138
2023-04-27 13:37:49.5210,156.829,45.859,124.985
2023-04-27 13:37:49.6210,-148.572,53.843,72.812
2023-04-27 13:37:49.7220,-95.987,33.714,33.871
2023-04-27 13:37:49.8210,-41.38,27.156,0.08
2023-04-27 13:37:49.9210,24.049,11.653,-31.404
2023-04-27 13:37:50.0210,71.795,-0.857,-54.311
2023-04-27 13:37:50.1210,92.229,-3.546,-55.724
2023-04-27 13:37:50.2210,92.388,-9.152,-37.899
2023-04-27 13:37:50.3200,86.9,-9.688,-32.501
2023-04-27 13:37:50.4180,83.817,-8.499,-27.725
2023-04-27 13:37:50.5190,66.165,-0.623,-38.984
2023-04-27 13:37:50.6180,28.534,17.307,-48.222
2023-04-27 13:37:50.7200,-31.816,58.021,-19.035
2023-04-27 13:37:50.8230,-132.921,52.421,64.831
2023-04-27 13:37:50.9230,-126.741,43.449,52.628
2023-04-27 13:37:51.0230,-62.047,32.857,2.768
2023-04-27 13:37:51.1230,-5.646,8.086,-17.858
2023-04-27 13:37:51.2230,47.959,18.839,-47.458
2023-04-27 13:37:51.3230,85.998,24.822,-112.802
2023-04-27 13:37:51.4220,99.122,23.516,-146.825
2023-04-27 13:37:51.5220,122.564,39.788,178.719
2023-04-27 13:37:51.6230,156.932,48.065,129.856
2023-04-27 13:37:51.7230,-172.309,51.429,88.363
2023-04-27 13:37:51.8220,-115.776,55.967,36.198
2023-04-27 13:37:51.9220,-48.984,37.143,-6.99
2023-04-27 13:37:52.0220,-2.615,10.246,-17.516
2023-04-27 13:37:52.1220,36.699,15.415,-41.138
2023-04-27 13:37:52.2220,64.729,34.74,-94.27
2023-04-27 13:37:52.3220,113.554,51.338,-176.263
2023-04-27 13:37:52.4220,146.823,38.616,134.143
2023-04-27 13:37:52.5220,-171.589,48.377,89.216
2023-04-27 13:37:52.6220,-108.369,44.322,31.536
2023-04-27 13:37:52.7220,-45.848,18.986,-0.513
2023-04-27 13:37:52.8220,18.234,2.672,-8.633
2023-04-27 13:37:52.9220,65.31,2.362,-22.367
2023-04-27 13:37:53.0220,75.8,7.896,-66.457
2023-04-27 13:37:53.1220,81.908,13.308,-119.642
2023-04-27 13:37:53.2220,91.527,21.938,-168.531
2023-04-27 13:37:53.3210,81.417,29.906,-154.829
2023-04-27 13:37:53.4210,71.851,59.711,-134.225
2023-04-27 13:37:53.5210,54.79,86.02,-107.593
2023-04-27 13:37:53.6220,-131.148,68.951,74.675
2023-04-27 13:37:53.7210,-135.565,50.763,69.906
2023-04-27 13:37:53.8210,-116.928,67.641,50.045
2023-04-27 13:37:53.9210,-6.539,51.307,-63.525
2023-04-27 13:37:54.0220,-1.888,41.011,-65.646
2023-04-27 13:37:54.1210,-73.811,68.462,5.878
2023-04-27 13:37:54.2210,-137.787,34.145,76.579
2023-04-27 13:37:54.3210,-133.301,45.626,70.935
2023-04-27 13:37:54.4210,-35.965,62.404,-29.349
2023-04-27 13:37:54.5210,-1.443,35.903,-57.326
2023-04-27 13:37:54.6210,-17.903,52.02,-28.817
2023-04-27 13:37:54.7210,-29.011,56.979,-11.83
2023-04-27 13:37:54.8210,-27.49,52.714,-14.904
2023-04-27 13:37:54.9210,-28.362,41.602,-14.525
2023-04-27 13:37:55.0210,-34.187,25.727,-11.475
2023-04-27 13:37:55.1210,-36.739,24.835,-10.369
2023-04-27 13:37:55.2200,-36.318,31.24,-5.92
2023-04-27 13:37:55.3210,-35.504,40.086,-4.807
2023-04-27 13:37:55.4210,-41.311,54.736,1.628
2023-04-27 13:37:55.5210,-89.7,64.146,44.175
2023-04-27 13:37:55.6210,-112.014,49.737,68.73
2023-04-27 13:37:55.7210,-101.109,46.841,62.986
2023-04-27 13:37:55.8210,-70.001,45.359,34.457
2023-04-27 13:37:55.9210,-7.046,24.582,-12.27
2023-04-27 13:37:56.0210,10.57,-2.47,-9.413
2023-04-27 13:37:56.1210,-15.273,20.569,-5.397
2023-04-27 13:37:56.2210,-83.917,40.263,32.434
2023-04-27 13:37:56.3210,-129.906,19.215,55.676
2023-04-27 13:37:56.4200,-128.503,21.475,49.479
2023-04-27 13:37:56.5210,-86.498,48.033,18.258
2023-04-27 13:37:56.6210,1.546,27.364,-46.681
2023-04-27 13:37:56.7200,20.473,20.923,-46.415
2023-04-27 13:37:56.8210,0.834,49.595,-31.412
2023-04-27 13:37:56.9210,-100.709,59.073,47.454
2023-04-27 13:37:57.0210,-142.576,24.576,59.342
2023-04-27 13:37:57.1200,-144.276,3.047,35.222
2023-04-27 13:37:57.2200,-145.402,20.097,9.353
2023-04-27 13:37:57.3200,-113.646,31.818,-4.309
2023-04-27 13:37:57.4190,-80.115,28.0,-7.931
2023-04-27 13:37:57.5190,-59.173,19.744,-10.069
2023-04-27 13:37:57.6190,-58.858,17.846,-7.557
2023-04-27 13:37:57.7200,-62.895,33.097,-13.216
2023-04-27 13:37:57.8200,-80.508,43.272,1.087
2023-04-27 13:37:57.9190,-113.276,34.216,34.726
2023-04-27 13:37:58.0200,-127.416,21.355,52.577
2023-04-27 13:37:58.1190,-125.889,16.082,51.918
2023-04-27 13:37:58.2190,-87.482,10.722,23.677
2023-04-27 13:37:58.3190,-49.642,-12.452,3.568
2023-04-27 13:37:58.4190,-51.891,-6.93,2.093
2023-04-27 13:37:58.5190,-66.142,27.439,4.014
2023-04-27 13:37:58.6190,-75.101,51.33,5.006
2023-04-27 13:37:58.7200,-78.673,46.679,4.815
2023-04-27 13:37:58.8190,-81.666,32.575,9.685
2023-04-27 13:37:58.9190,-82.507,7.248,3.292
2023-04-27 13:37:59.0190,-84.578,-9.12,4.275
2023-04-27 13:37:59.1190,-79.299,2.628,2.827
2023-04-27 13:37:59.2190,-74.934,23.794,-4.64
2023-04-27 13:37:59.3150,-75.802,3.499,1.467
2023-04-27 13:37:59.4140,-76.706,-22.642,5.01
2023-04-27 13:37:59.5140,-70.867,-3.418,6.269
2023-04-27 13:37:59.6140,-72.635,27.578,1.371
2023-04-27 13:37:59.7180,-86.097,30.195,13.994
2023-04-27 13:37:59.8170,-89.044,24.115,12.277
2023-04-27 13:37:59.9170,-84.745,30.814,7.565
2023-04-27 13:38:00.0160,-89.786,41.089,0.244
2023-04-27 13:38:00.1170,-88.434,38.081,-3.037
2023-04-27 13:38:00.2170,-105.372,55.998,-4.473
2023-04-27 13:38:00.3150,117.644,78.864,121.236
2023-04-27 13:38:00.4150,73.739,29.846,168.521
2023-04-27 13:38:00.5170,70.009,-17.487,176.485
2023-04-27 13:38:00.6170,68.716,-59.169,164.184
2023-04-27 13:38:00.7170,79.214,-78.973,169.085
2023-04-27 13:38:00.8170,76.621,-64.189,172.834
2023-04-27 13:38:00.9170,71.266,-18.744,178.725
2023-04-27 13:38:01.0170,70.162,53.006,173.213
2023-04-27 13:38:01.1160,-116.508,53.284,-5.084
2023-04-27 13:38:01.2160,-121.606,-3.54,-7.793
2023-04-27 13:38:01.3160,-131.953,-8.825,-21.06
2023-04-27 13:38:01.4160,-119.032,33.742,-21.543
2023-04-27 13:38:01.5170,50.391,43.06,-177.716
2023-04-27 13:38:01.6160,80.472,-39.149,-172.748
2023-04-27 13:38:01.7170,118.805,-57.311,-128.82
2023-04-27 13:38:01.8160,81.886,-27.326,-163.174
2023-04-27 13:38:01.9150,81.764,56.265,166.643
2023-04-27 13:38:02.0170,-123.079,34.98,36.412
2023-04-27 13:38:02.1140,-132.049,6.475,10.028
2023-04-27 13:38:02.2160,-120.59,31.354,5.508
2023-04-27 13:38:02.3160,-11.755,75.047,-89.454
2023-04-27 13:38:02.4150,65.894,-3.478,163.654
2023-04-27 13:38:02.5160,80.268,-40.072,-176.221
2023-04-27 13:38:02.6160,78.132,-38.611,-169.858
2023-04-27 13:38:02.7160,73.572,-20.303,-178.356
2023-04-27 13:38:02.8150,78.889,12.532,171.165
2023-04-27 13:38:02.9150,115.779,64.22,144.535
2023-04-27 13:38:03.0170,-114.875,54.623,37.628
2023-04-27 13:38:03.1150,-92.831,28.28,-4.479
2023-04-27 13:38:03.2150,-74.884,23.541,-28.287
2023-04-27 13:38:03.3150,-51.95,33.907,-46.104
2023-04-27 13:38:03.4150,13.037,46.76,-113.905
2023-04-27 13:38:03.5150,73.006,7.794,-172.756
2023-04-27 13:38:03.6160,89.901,-17.266,-158.842
2023-04-27 13:38:03.7150,92.397,-11.514,-155.402
2023-04-27 13:38:03.8150,90.717,7.803,-161.229
2023-04-27 13:38:03.9150,92.594,31.821,-170.937
2023-04-27 13:38:04.0150,94.24,64.373,-179.293
2023-04-27 13:38:04.1150,-111.583,81.692,21.619
2023-04-27 13:38:04.2150,-94.267,55.78,-0.077
2023-04-27 13:38:04.3150,-90.728,43.823,-7.93
2023-04-27 13:38:04.4150,-84.853,50.659,-15.403
2023-04-27 13:38:04.5150,-46.274,74.494,-55.316
2023-04-27 13:38:04.6150,68.753,42.609,-167.868
2023-04-27 13:38:04.7150,82.758,-7.834,-171.158
2023-04-27 13:38:04.8150,88.243,-19.863,-160.484
2023-04-27 13:38:04.9150,85.333,3.813,-161.432
2023-04-27 13:38:05.0150,79.976,38.494,-175.396
2023-04-27 13:38:05.1150,79.27,69.889,171.637
2023-04-27 13:38:05.2140,-120.666,85.217,8.942
2023-04-27 13:38:05.3140,-109.707,71.63,-7.358
2023-04-27 13:38:05.4140,-109.91,63.566,-12.396
2023-04-27 13:38:05.5140,-102.627,55.973,-20.755
2023-04-27 13:38:05.6140,-94.783,55.598,-30.971
2023-04-27 13:38:05.7140,-80.807,64.412,-47.657
2023-04-27 13:38:05.8140,-15.3,71.57,-111.36
2023-04-27 13:38:05.9140,48.426,34.769,-175.192
2023-04-27 13:38:06.0140,58.05,-6.621,-169.183
2023-04-27 13:38:06.1140,63.801,-15.728,-161.106
2023-04-27 13:38:06.2140,64.845,8.67,-163.04
2023-04-27 13:38:06.3140,65.671,51.401,-176.993
2023-04-27 13:38:06.4140,-110.795,86.844,9.097
2023-04-27 13:38:06.5140,-105.621,55.685,6.423
2023-04-27 13:38:06.6140,-104.312,44.525,-2.315
2023-04-27 13:38:06.7140,-99.616,43.976,-10.779
2023-04-27 13:38:06.8140,-88.41,56.808,-25.41
2023-04-27 13:38:06.9140,-35.181,77.848,-85.761
2023-04-27 13:38:07.0140,60.307,54.616,176.057
2023-04-27 13:38:07.1130,59.161,20.682,-170.344
2023-04-27 13:38:07.2140,57.262,-10.812,-150.664
2023-04-27 13:38:07.3140,60.295,-27.886,-153.628
2023-04-27 13:38:07.4140,56.136,-4.634,-158.616
2023-04-27 13:38:07.5140,49.719,19.478,-162.987
2023-04-27 13:38:07.6140,46.901,48.44,-172.532
2023-04-27 13:38:07.7140,18.917,88.295,-153.835
2023-04-27 13:38:07.8140,-123.572,58.88,-9.332
2023-04-27 13:38:07.9140,-123.517,37.09,-11.879
2023-04-27 13:38:08.0140,-122.994,34.772,-17.084
2023-04-27 13:38:08.1140,-114.532,50.839,-26.303
2023-04-27 13:38:08.2140,-30.238,73.378,-98.305
2023-04-27 13:38:08.3130,55.109,27.437,176.055
2023-04-27 13:38:08.4130,59.525,-5.476,-168.826
2023-04-27 13:38:08.5130,60.588,-16.342,-156.624
2023-04-27 13:38:08.6110,66.054,-23.574,-149.813
2023-04-27 13:38:08.7100,65.703,-22.471,-148.487
2023-04-27 13:38:08.8090,62.419,-22.434,-151.398
2023-04-27 13:38:08.9090,60.325,-22.675,-153.953
2023-04-27 13:38:09.0140,61.006,-23.365,-152.999
2023-04-27 13:38:09.1140,58.563,-21.325,-151.452
2023-04-27 13:38:09.2130,57.374,-20.886,-151.345
2023-04-27 13:38:09.3130,55.774,-20.259,-150.647
2023-04-27 13:38:09.4130,54.896,-19.29,-150.343
2023-04-27 13:38:09.5130,52.933,-17.229,-149.926
2023-04-27 13:38:09.6130,50.268,-15.478,-148.453
2023-04-27 13:38:09.7130,48.31,-14.224,-146.2
2023-04-27 13:38:09.8130,48.383,-13.884,-145.221
2023-04-27 13:38:09.9130,49.298,-14.019,-142.612
2023-04-27 13:38:10.0130,47.187,-9.498,-131.748
2023-04-27 13:38:10.1120,42.478,12.642,-126.683
2023-04-27 13:38:10.2120,22.392,49.968,-121.932
2023-04-27 13:38:10.3120,-81.982,58.774,-32.666
2023-04-27 13:38:10.4120,-111.615,20.821,-20.567
2023-04-27 13:38:10.5120,-97.712,9.196,-7.905
2023-04-27 13:38:10.6120,-73.825,14.1,-5.037
2023-04-27 13:38:10.7120,-70.226,27.78,-3.369
2023-04-27 13:38:10.8120,6.005,60.893,-37.914
2023-04-27 13:38:10.9120,86.285,49.602,-99.984
2023-04-27 13:38:11.0120,98.864,49.826,-97.662
2023-04-27 13:38:11.1120,115.449,44.724,-98.339
2023-04-27 13:38:11.2120,132.939,35.479,-109.789
2023-04-27 13:38:11.3120,124.143,38.04,-102.287
2023-04-27 13:38:11.4120,95.854,48.843,-87.399
2023-04-27 13:38:11.5120,69.267,48.543,-67.456
2023-04-27 13:38:11.6120,40.472,43.194,-47.718
2023-04-27 13:38:11.7120,24.929,29.229,-32.407
2023-04-27 13:38:11.8110,25.575,15.841,-18.86
2023-04-27 13:38:11.9110,25.735,19.276,-17.051
2023-04-27 13:38:12.0120,29.859,37.422,-33.473
