time,ax,ay,az,atotal
37.723320960998535,-1.51,-4.52,2.22,5.25
37.72522687911987,-1.41,-3.81,2.13,4.58
37.72683095932007,-0.17,-3.05,1.32,3.32
37.72837209701538,1.47,-2.19,-0.76,2.74
37.729981899261475,2.22,-0.4,-2.94,3.7
37.731542110443115,2.04,1.27,-4.69,5.26
37.73297309875488,0.88,2.8,-4.94,5.74
37.73437309265137,-0.23,2.74,-3.31,4.3
37.7357611656189,-0.98,1.16,0.35,1.55
37.74136805534363,-2.02,0.6,3.03,3.69
37.743070125579834,-2.51,1.05,2.33,3.58
37.744590044021606,-0.55,1.42,-0.4,1.57
37.74598503112793,3.16,2.93,-3.32,5.43
37.747406005859375,6.04,3.8,-5.05,8.74
37.748878955841064,5.85,4.04,-4.67,8.5
37.75033187866211,3.83,3.06,-2.58,5.53
37.75178599357605,0.86,1.26,1.42,2.08
37.75324606895447,-3.02,-0.11,6.61,7.26
37.7546820640564,-6.84,-0.18,9.72,11.88
37.75958299636841,-9.06,0.8,9.54,13.18
37.761062145233154,-8.92,2.3,6.37,11.19
37.762558937072754,-6.6,3.41,1.4,7.55
37.76403188705444,-2.73,4.17,-3.31,5.98
37.7655291557312,1.03,4.61,-5.59,7.31
37.76699495315552,1.85,4.77,-5.09,7.21
37.76839303970337,0.05,3.8,-2.23,4.4
37.769782066345215,-2.74,2.44,1.76,4.06
37.77116298675537,-5.19,1.55,4.46,7.01
37.77276086807251,-6.11,0.88,5.34,8.16
37.777432918548584,-4.78,0.61,4.45,6.55
37.77885818481445,-2.1,0.76,3.15,3.86
37.780344009399414,-0.12,1.37,2.55,2.89
37.78185510635376,0.91,1.91,2.35,3.16
37.78325414657593,2.07,1.76,1.46,3.08
37.78469204902649,2.38,1.7,1.16,3.14
37.78623914718628,1.64,2.22,0.53,2.81
37.78799915313721,1.35,1.73,-0.81,2.33
37.789649963378906,1.59,0.4,-1.41,2.16
37.79115295410156,2.05,-0.91,-1.38,2.63
37.79583692550659,2.45,-1.64,-1.47,3.29
37.79728412628174,2.93,-2.14,-1.64,3.98
37.79873204231262,3.04,-2.02,-1.9,4.11
37.80015802383423,2.84,-1.6,-2.63,4.18
37.80151700973511,2.7,-0.98,-3.19,4.29
37.80287218093872,2.21,-0.3,-2.82,3.59
37.80422592163086,1.51,-0.09,-1.75,2.31
37.80582094192505,1.09,-0.54,-0.13,1.22
37.80719614028931,0.95,-1.64,2.17,2.88
37.80862498283386,0.81,-2.83,4.06,5.01
37.81282901763916,0.57,-3.71,3.83,5.36
37.814234018325806,0.4,-4.18,1.61,4.49
37.81563997268677,0.65,-3.81,-1.76,4.24
37.81702208518982,1.22,-3.22,-4.8,5.9
37.8183810710907,1.44,-2.88,-6.21,6.99
37.819748878479004,0.86,-2.66,-5.63,6.28
37.821096897125244,-0.46,-2.77,-2.67,3.87
37.822585105895996,-1.92,-3.55,1.69,4.37
37.823965072631836,-2.82,-4.57,5.36,7.58
37.8253960609436,-3.37,-5.11,6.93,9.24
37.82956790924072,-3.31,-5.16,5.73,8.39
37.830952167510986,-1.89,-4.76,2.67,5.77
37.83238101005554,0.3,-3.65,-1.64,4.01
37.83380603790283,1.73,-1.58,-5.53,6.0
37.83507490158081,1.73,1.83,-7.51,7.92
37.83641290664673,1.24,4.83,-7.13,8.7
37.83783721923828,1.18,5.8,-4.89,7.67
37.83934998512268,2.59,2.09,-1.02,3.48
37.84072208404541,0.61,0.48,2.53,2.64
37.84222412109375,-1.51,0.55,4.57,4.84
37.846349000930786,-2.02,-0.74,4.03,4.56
37.84771490097046,-1.99,-0.79,1.94,2.88
37.84914207458496,-1.08,-0.11,-0.89,1.4
37.85049819946289,0.31,0.84,-3.76,3.86
37.85184192657471,1.89,1.86,-5.11,5.75
37.85318398475647,2.73,2.71,-4.8,6.15
37.854536056518555,2.07,3.21,-3.09,4.91
37.85608720779419,-0.45,3.04,-0.03,3.07
37.85745406150818,-4.1,2.25,3.99,6.14
37.85903215408325,-6.77,1.41,7.63,10.29
37.86324214935303,-7.43,0.6,9.89,12.38
37.86462593078613,-6.13,-0.13,10.35,12.02
37.866051197052,-3.69,-0.41,7.5,8.36
37.86740016937256,-0.79,0.21,2.72,2.84
37.86875915527344,0.86,1.64,-1.72,2.52
37.870115995407104,0.49,3.19,-4.76,5.75
37.87147808074951,-0.86,3.37,-5.4,6.42
37.87320613861084,-2.11,2.47,-3.58,4.83
37.87459707260132,-2.01,1.34,-0.55,2.47
37.87605404853821,-0.53,0.42,2.66,2.74
37.880136013031006,0.63,-0.05,5.67,5.7
37.88153314590454,1.18,-0.41,6.79,6.9
37.8829300403595,1.83,-0.25,5.15,5.47
37.884273052215576,3.81,-0.02,0.42,3.83
37.88561701774597,6.09,0.09,-5.35,8.1
37.88695812225342,5.85,0.78,-8.87,10.65
37.888325214385986,2.01,2.1,-9.37,9.81
37.88981008529663,-2.16,2.44,-6.07,6.88
37.89118504524231,-3.33,0.1,-0.87,3.44
37.89263200759888,-3.47,-1.94,2.95,4.95
37.89688205718994,-3.69,-2.9,3.34,5.76
37.898290157318115,-4.04,-2.64,0.5,4.85
37.89972805976868,-3.23,-1.87,-3.56,5.15
37.90108013153076,-1.52,-1.15,-6.66,6.92
37.902435064315796,0.29,-0.47,-6.72,6.74
37.90377998352051,1.8,-0.48,-4.13,4.53
37.905158042907715,2.14,-1.33,-0.3,2.53
37.90663719177246,0.89,-2.58,3.41,4.36
37.90805912017822,-1.09,-3.33,5.1,6.18
37.90967607498169,-2.6,-3.72,4.06,6.08
37.91393709182739,-2.5,-3.69,0.75,4.51
37.915327072143555,-0.86,-2.79,-2.84,4.07
37.916815996170044,1.32,-1.57,-5.97,6.31
37.91820192337036,3.17,-0.93,-7.78,8.45
37.919562101364136,3.79,-1.0,-7.02,8.04
37.92092418670654,2.25,-1.43,-3.88,4.7
37.922410011291504,-0.09,-2.18,-0.49,2.23
37.923819065093994,-1.98,-3.05,2.33,4.31
